rank	book_id	score	preview	start_line
1	7010	6.000000	﻿The Project Gutenberg eBook of Graded Lessons in English	1
2	7188	6.000000	﻿The Project Gutenberg eBook of Higher Lessons in English: A work on English grammar and composition	1
3	11615	6.000000	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
4	14006	6.000000	﻿The Project Gutenberg eBook of An English Grammar	1
5	14070	6.000000	﻿The Project Gutenberg eBook of English Grammar in Familiar Lectures	1
6	15097	6.000000	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
7	17594	6.000000	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
8	26991	6.000000	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
9	30036	6.000000	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
10	42026	6.000000	﻿The Project Gutenberg eBook of English-Bisaya Grammar, in Twenty Eight Lessons	1
11	43397	6.000000	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
12	44802	6.000000	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
13	45814	6.000000	﻿The Project Gutenberg eBook of An Advanced English Grammar with Exercises	1
14	48702	6.000000	﻿The Project Gutenberg eBook of English Grammar and Composition for Public Schools	1
15	12358	5.000000	Author: Society for Pure English	14
16	12524	5.000000	﻿The Project Gutenberg eBook of The Englishing of French Words; the Dialectal Words in Blunden's Poems	1
17	62064	5.000000	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
18	16845	4.000000	Language: English, Middle English	19
19	24790	4.000000	﻿The Project Gutenberg eBook of Early English Meals and Manners	1
20	25449	4.000000	﻿The Project Gutenberg eBook of The Young Castellan: A Tale of the English Civil War	1
21	25664	4.000000	﻿The Project Gutenberg eBook of The Earliest Arithmetics in English	1
22	29214	4.000000	﻿The Project Gutenberg eBook of Dialogues in French and English	1
23	30282	4.000000	﻿The Project Gutenberg eBook of Early English Alliterative Poems	1
24	33768	4.000000	﻿The Project Gutenberg eBook of The Middle English Poem, Erthe Upon Erthe	1
25	415	3.000000	Language: English	19
26	417	3.000000	Language: German, English	22
27	1278	3.000000	﻿The Project Gutenberg eBook of Penelope's English Experiences	1
28	1304	3.000000	﻿The Project Gutenberg eBook of Bulchevy's Book of English Verse	1
29	1406	3.000000	﻿The Project Gutenberg eBook of The Perils of Certain English Prisoners	1
30	1592	3.000000	﻿The Project Gutenberg eBook of The Greatest English Classic	1
31	1615	3.000000	﻿The Project Gutenberg eBook of Old English libraries	1
32	1727	3.000000	Language: English	21
33	1831	3.000000	﻿The Project Gutenberg eBook of The Lock and Key Library: Classic Mystery and Detective Stories: Old Time English	1
34	1980	3.000000	﻿The Project Gutenberg eBook of Stories by English Authors: Africa (Selected by Scribners)	1
35	1989	3.000000	Language: English	18
