rank	book_id	score	preview	start_line
1	35116	0.056066	little Dornröschen who had retired to her solitude, and was dreaming of	4524
2	30038	0.046777	DORNRÖSCHEN	792
3	61708	0.038817	werden. Dornröschen. Nach den Vorstellungen mußte oft bis vier Uhr Morgens	2229
4	62670	0.035157	Nr. 1. =Dornröschen=, gez. v. J. Diez, München	679
5	30269	0.031437	ought not to be. They did not long believe in Dornröschen and	1483
6	19716	0.028875	3. Dornröschen.	1920
7	42900	0.026941	Dornröschen	106
8	28100	0.024986	Ansicht entsprechen, beispielsweise unser allerliebstes Dornröschen.	2144
9	22160	0.023833	{Section VII.} Musik, Dornröschen etc.......................... 143	211
10	31099	0.022054	when on stable duty, allowed Dornröschen to get caught in her chain.	1408
11	39782	0.021546	Dornröschen, which in English we call The Sleeping Beauty, where the	775
12	35547	0.021370	willst, so mache ich das Dornröschen im Schloß, und du kommst mich	765
13	63465	0.019693	Das Dornröschen.	7438
14	16248	0.017829	followed in 1902 by 'Dornröschen,' another fairy play accompanied by	7609
15	18947	0.016843	_Dornröschen_, or the Sleeping Beauty, there are twelve good fays;	6199
16	65600	0.016587	Teich ein weltvergessenes Waldmärchen. Ein grünlockiges Dornröschen,	2629
17	43393	0.015560	Dornröschen herself, but her money-bags from the spell. Well, the	8154
18	15591	0.014786	imatchination! _Ach, lieber Gott! Dornröschen_, cultivate you the	2699
19	31281	0.014434	88. Dornröschen.	4046
20	71774	0.014081	Dornröschen; Marienkind.	6630
21	68401	0.013829	farbige Vervielfältigung nach einer Originalzeichnung „Dornröschen	2220
22	13666	0.013498	narration of the story and the dramatic game, _Dornröschen_. A wide	4467
23	66391	0.013183	Schneewitschen, Der Rattenfänger von Hamlin, Dornröschen, and all the	3300
24	71744	0.012863	"a poem she called ""_Dornröschen_"":"	3098
25	5314	0.012425	50 Little Briar-Rose (Dornröschen)	91
26	7967	0.012363	_Dornröschen_--the Sleeping Beauty. She reminded him of his old	18590
27	60684	0.012237	Dornröschen und dem Ritter Blaubart im dunklen Waldesgrund.	2485
28	70560	0.012113	Wein darum und legte mich mit geschlossenen Augen ins Gras. Dornröschen	1369
