rank	book_id	score	preview	start_line
1	26370	26.000000	﻿The Project Gutenberg eBook of Mémoires de Hector Berlioz	1
2	30021	26.000000	﻿The Project Gutenberg eBook of Correspondance inédite de Hector Berlioz, 1819-1868	1
3	59056	25.000000	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Prose Works of Hector Berlioz	1
4	62668	25.000000	﻿The Project Gutenberg eBook of The Life of Hector Berlioz as Written by Himself in His Letters and Memoirs	1
5	31576	24.000000	﻿The Project Gutenberg eBook of Memoria sobre a descoberta das ilhas de Porto Santo e Madeira 1418-1419	1
6	1550	23.000000	﻿The Project Gutenberg eBook of A Lady of Quality	1
7	6402	23.000000	﻿The Project Gutenberg eBook of The romance of Isabel Lady Burton	1
8	6598	23.000000	﻿The Project Gutenberg eBook of American Woman's Home: Or, Principles of Domestic Science;	1
9	12493	23.000000	﻿The Project Gutenberg eBook of How John Became a Man: Life Story of a Motherless Boy	1
10	14061	23.000000	﻿The Project Gutenberg eBook of Lady Byron Vindicated	1
11	15147	23.000000	﻿The Project Gutenberg eBook of Beeton's Book of Needlework	1
12	28533	23.000000	﻿The Project Gutenberg eBook of The King's Post	1
13	38819	23.000000	﻿The Project Gutenberg eBook of Behind the Mirrors: The Psychology of Disintegration at Washington	1
14	39777	23.000000	﻿The Project Gutenberg eBook of Cowboy Life on the Sidetrack	1
15	45368	23.000000	﻿The Project Gutenberg eBook of The Outline of History: Being a Plain History of Life and Mankind	1
16	46347	23.000000	﻿The Project Gutenberg eBook of Men of Our Times; Or, Leading Patriots of the Day	1
17	50716	23.000000	﻿The Project Gutenberg eBook of The German Terror in Belgium: An Historical Record	1
18	56113	23.000000	﻿The Project Gutenberg eBook of Irrigation Works	1
19	58032	23.000000	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Gilbert K. Chesterton	1
20	58301	23.000000	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Harriet Beecher Stowe	1
21	71804	23.000000	﻿The Project Gutenberg eBook of The romance of Isabel Lady Burton	1
22	14133	22.000000	﻿The Project Gutenberg eBook of David Balfour	1
23	16434	22.000000	﻿The Project Gutenberg eBook of Autobiography of Friedrich Froebel	1
24	17128	22.000000	﻿The Project Gutenberg eBook of Noteworthy Families (Modern Science)	1
25	22914	22.000000	﻿The Project Gutenberg eBook of The Sceptical Chymist	1
26	24862	22.000000	﻿The Project Gutenberg eBook of Letters of Lt.-Col. George Brenton Laurie	1
27	27586	22.000000	﻿The Project Gutenberg eBook of The Mentor: The War of 1812	1
28	32733	22.000000	﻿The Project Gutenberg eBook of The Journal of Lieut. John L. Hardenbergh of the Second New York Continental Regiment from May 1 to October 3, 1779, in General Sullivan's Campaign 	1
29	33085	22.000000	﻿The Project Gutenberg eBook of The Admirable Bashville; Or, Constancy Unrewarded	1
30	44367	22.000000	﻿The Project Gutenberg eBook of The Mentor: Walter Scott, Vol. 4, Num. 15, Serial No. 115, September 15, 1916	1
31	49452	22.000000	﻿The Project Gutenberg eBook of The Mentor: Benjamin Franklin, Vol. 6, Num. 7, Serial No. 155, May 15, 1918	1
32	50673	22.000000	﻿The Project Gutenberg eBook of The Mentor: American Mural Painters, vol. 2, Num 15, Serial No. 67, September 15, 1914	1
33	51556	22.000000	﻿The Project Gutenberg eBook of The Mentor: The Cradle of Liberty, Vol. 6, Num. 10, Serial No. 158, July 1, 1918	1
34	55068	22.000000	﻿The Project Gutenberg eBook of Notes on the Floridian Peninsula; Its Literary History, Indian Tribes and Antiquities	1
35	55261	22.000000	﻿The Project Gutenberg eBook of Nothing of Importance	1
36	61473	22.000000	﻿The Project Gutenberg eBook of Is a Ship Canal Practicable?	1
37	65256	22.000000	﻿The Project Gutenberg eBook of The Memoirs of Lieut. Henry Timberlake (Who Accompanied the Three Cherokee Indians to England in the Year 1762)	1
