rank	book_id	score	preview	start_line
1	4627	0.177247	﻿The Project Gutenberg eBook of The Lights and Shadows of Real Life	1
2	4669	0.177033	﻿The Project Gutenberg eBook of Town and Country; Or, Life at Home and Abroad, Without and Within Us	1
3	4484	0.176632	﻿The Project Gutenberg eBook of The Amazing Marriage — Volume 2	1
4	4485	0.176577	﻿The Project Gutenberg eBook of The Amazing Marriage — Volume 3	1
5	4721	0.176555	﻿The Project Gutenberg eBook of Darkness and Daylight: A Novel	1
6	4483	0.176499	﻿The Project Gutenberg eBook of The Amazing Marriage — Volume 1	1
7	4710	0.176487	﻿The Project Gutenberg eBook of The Story of Electricity	1
8	4688	0.176484	﻿The Project Gutenberg eBook of Pages	1
9	4486	0.176446	﻿The Project Gutenberg eBook of The Amazing Marriage — Volume 4	1
10	4652	0.176361	﻿The Project Gutenberg eBook of Escape, and Other Essays	1
11	4474	0.176311	﻿The Project Gutenberg eBook of One of Our Conquerors — Volume 4	1
12	4487	0.176296	﻿The Project Gutenberg eBook of The Amazing Marriage — Volume 5	1
13	4475	0.176275	﻿The Project Gutenberg eBook of One of Our Conquerors — Volume 5	1
14	4471	0.176235	﻿The Project Gutenberg eBook of One of Our Conquerors — Volume 1	1
15	4653	0.176197	﻿The Project Gutenberg eBook of God's Good Man: A Simple Love Story	1
16	4472	0.176146	﻿The Project Gutenberg eBook of One of Our Conquerors — Volume 2	1
17	4701	0.176137	﻿The Project Gutenberg eBook of The Ethics of the Dust	1
18	4473	0.176038	﻿The Project Gutenberg eBook of One of Our Conquerors — Volume 3	1
19	4676	0.176036	﻿The Project Gutenberg eBook of Outpost	1
20	4498	0.175911	﻿The Project Gutenberg eBook of Miscellaneous Prose	1
21	4586	0.175176	﻿The Project Gutenberg eBook of Danger; Or, Wounded in the House of a Friend	1
22	4495	0.174426	﻿The Project Gutenberg eBook of The House on the Beach: A Realistic Tale	1
23	4598	0.174240	﻿The Project Gutenberg eBook of The Story of Creation as Told By Theology and By Science	1
