rank	book_id	score	preview	start_line
1	45023	0.112659	﻿The Project Gutenberg eBook of The Pictorial Grammar	1
2	54324	0.091293	Language: English	18
3	29163	0.078949	Language: English	18
4	11099	0.075278	Language: English	19
5	23765	0.074900	﻿The Project Gutenberg eBook of Captain Boldheart & the Latin-Grammar Master	1
6	62064	0.073892	﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton	1
7	54663	0.072695	Language: English	18
8	26991	0.072107	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
9	23359	0.063288	Language: English	18
10	66712	0.063030	﻿The Project Gutenberg eBook of Grammar-land; Or, Grammar in Fun for the Children of Schoolroom-shire	1
11	54322	0.062551	Language: English	18
12	25040	0.061946	Language: English	19
13	47779	0.057716	Language: English	18
14	69236	0.056198	﻿The Project Gutenberg eBook of The high school course in English	1
15	13482	0.056093	Language: English	19
16	63907	0.054822	Language: English	18
17	40536	0.053498	Language: English	18
18	72005	0.052281	Language: English	19
19	55015	0.051652	Language: English	18
20	12358	0.050022	Author: Society for Pure English	14
21	69665	0.049937	Language: English	20
22	60351	0.049898	Language: English	18
23	62229	0.049117	Language: English	22
24	18663	0.048486	Language: English	20
25	48233	0.047956	Language: English	18
26	63065	0.047123	Language: English	18
27	63725	0.046663	Language: English	18
28	44259	0.046171	Language: English	18
29	63822	0.045925	Language: English	18
30	1681	0.045905	Language: English	21
31	37739	0.045650	Language: English	19
32	63450	0.045541	Language: English	18
33	50366	0.045274	Language: English	18
34	27583	0.045120	Language: English	19
35	58397	0.045118	Language: English	18
36	22710	0.044437	Language: English	18
37	51811	0.044184	Language: English	18
38	12735	0.043813	﻿The Project Gutenberg eBook of The Grammar School Boys in Summer Athletics	1
39	30036	0.043458	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
40	809	0.043334	Language: English	19
41	2412	0.042898	Language: English	21
42	70282	0.042805	Language: English	21
43	22611	0.042788	Language: English	19
44	32552	0.042638	Language: English	19
45	38444	0.042444	﻿The Project Gutenberg eBook of A Discourse Being Introductory to his Course of Lectures on Elocution and the English Language (1759)	1
46	65941	0.042276	Language: English	18
47	23041	0.042151	Language: English	21
48	7379	0.041740	Language: English	19
49	52292	0.041541	Language: English	20
50	15601	0.040820	Language: English	19
51	31639	0.040467	Language: English	18
52	15329	0.040214	Language: English	21
53	28979	0.040107	Language: English	20
54	22307	0.040019	﻿The Project Gutenberg eBook of The Grammar School Boys of Gridley; or, Dick & Co. Start Things Moving	1
55	34863	0.039796	Language: English	19
56	71599	0.039616	Language: English	19
57	56815	0.039457	Language: English	18
58	31766	0.039360	﻿The Project Gutenberg eBook of Five Hundred Mistakes of Daily Occurrence in Speaking, Pronouncing, and Writing the English Language, Corrected	1
59	8405	0.039323	Language: English	19
60	64583	0.039224	Language: English	18
61	17645	0.039069	Language: English	18
62	50200	0.038768	Language: English	18
63	20789	0.038562	﻿The Project Gutenberg eBook of The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports	1
64	44614	0.038512	Language: English	18
65	15631	0.038439	Language: English	19
66	27187	0.038194	Language: English	19
67	61900	0.037850	Language: English	20
68	28415	0.037694	﻿The Project Gutenberg eBook of History Plays for the Grammar Grades	1
69	5782	0.037324	Language: English	19
70	69766	0.037120	Language: English	21
71	61924	0.036830	Language: English	20
72	22183	0.036629	Language: English	19
73	65748	0.036586	Language: English	19
74	19875	0.036510	Language: English	18
75	41423	0.036385	Language: English	20
76	30273	0.036328	Language: English	21
77	25412	0.036270	Language: English	18
78	17287	0.036143	Language: English	21
79	62528	0.036106	Language: English	18
80	11694	0.036084	﻿The Project Gutenberg eBook of The evolution of English lexicography	1
81	17594	0.035960	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
82	29259	0.035898	Language: English	18
83	29056	0.035892	Language: English	19
84	41216	0.035855	Language: English	20
85	25933	0.035717	﻿The Project Gutenberg eBook of English as She is Wrote	1
86	64517	0.035612	Language: English	19
87	22600	0.035496	﻿The Project Gutenberg eBook of How to Write Clearly: Rules and Exercises on English Composition	1
88	28330	0.035066	Language: English	18
89	54943	0.035014	Language: English	20
90	44802	0.035011	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
91	63747	0.034934	Language: English	19
92	28994	0.034845	Language: English	19
93	21538	0.034771	Language: English	18
94	42407	0.034746	Language: English	20
95	33564	0.034727	Language: English	20
96	61464	0.034683	Language: English	18
97	61764	0.034613	Language: English	19
98	68118	0.034592	Language: English	18
99	20566	0.034477	Language: English	18
100	6409	0.034417	Language: English	19
