rank	book_id	score	preview	start_line
1	21399	0.121666	﻿The Project Gutenberg eBook of Dick and His Cat	1
2	16198	0.085329	﻿The Project Gutenberg eBook of Her own way	1
3	28644	0.083903	﻿The Project Gutenberg eBook of Beyond the Door	1
4	31516	0.078374	﻿The Project Gutenberg eBook of The Eyes Have It	1
5	41369	0.076265	﻿The Project Gutenberg eBook of In Honour Bound: An Original Play, in One Act	1
6	28125	0.075685	﻿The Project Gutenberg eBook of Dear Santa Claus	1
7	72111	0.075487	﻿The Project Gutenberg eBook of Dick's retriever	1
8	71493	0.071099	﻿The Project Gutenberg eBook of Diligent Dick	1
9	30399	0.071070	﻿The Project Gutenberg eBook of Pythias	1
10	35053	0.069938	﻿The Project Gutenberg eBook of Sarah's First Start in Life	1
11	66502	0.069802	﻿The Project Gutenberg eBook of Yellow Butterflies	1
12	28554	0.069547	﻿The Project Gutenberg eBook of Beyond Lies the Wub	1
13	26941	0.068472	﻿The Project Gutenberg eBook of Wanted—7 Fearless Engineers!	1
14	32635	0.067921	﻿The Project Gutenberg eBook of The Diary of Philip Westerly	1
15	10569	0.066911	﻿The Project Gutenberg eBook of Skilled Assistance	1
16	32523	0.066738	﻿The Project Gutenberg eBook of Mrs. Turner's Cautionary Stories	1
17	21371	0.066373	﻿The Project Gutenberg eBook of Our Soldier Boy	1
18	23015	0.065603	"﻿The Project Gutenberg eBook of ""Run To Seed"""	1
19	68624	0.065242	﻿The Project Gutenberg eBook of The Red Cross girls with the Stars and Stripes	1
20	22902	0.064597	﻿The Project Gutenberg eBook of The Liberty Boys Running the Blockade; or, Getting Out of New York	1
21	36870	0.064435	﻿The Project Gutenberg eBook of Cotton, Its Progress from the Field to the Needle	1
22	32504	0.064289	﻿The Project Gutenberg eBook of All About the Three Little Pigs	1
23	64571	0.064270	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 3, Vol. I, January 19, 1884	1
24	33775	0.063780	﻿The Project Gutenberg eBook of Little Robins Learning to Fly	1
25	31556	0.063522	﻿The Project Gutenberg eBook of Dick in the Desert	1
26	68698	0.063111	﻿The Project Gutenberg eBook of Dick and Dr. Dan; Or, the boy monster hunters of the Bad Lands	1
27	6324	0.062689	﻿The Project Gutenberg eBook of The Story of a White Rocking Horse	1
28	21467	0.061266	﻿The Project Gutenberg eBook of The Log House by the Lake: A Tale of Canada	1
29	43989	0.060928	﻿The Project Gutenberg eBook of The Trail of The Badger: A Story of the Colorado Border Thirty Years Ago	1
30	40015	0.060533	﻿The Project Gutenberg eBook of A Boy Scout's Courage	1
31	2907	0.060514	"﻿The Project Gutenberg eBook of Joy: A Play on the Letter ""I"""	1
32	15894	0.060440	﻿The Project Gutenberg eBook of The Lifted Bandage	1
33	41033	0.059922	﻿The Project Gutenberg eBook of The Silver Shield: An Original Comedy in Three Acts	1
34	12201	0.059399	﻿The Project Gutenberg eBook of The Money Box	1
35	66579	0.059276	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 46, Vol. I, November 15, 1884	1
36	65647	0.058933	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 20, Vol. I, May 17, 1884	1
37	21636	0.058689	﻿The Project Gutenberg eBook of Bluff Crag; or, A Good Word Costs Nothing	1
38	62903	0.058642	﻿The Project Gutenberg eBook of Greycliff Heroines	1
39	40431	0.058159	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 1	1
40	66606	0.058044	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 48, Vol. I, November 29, 1884	1
41	11181	0.057748	﻿The Project Gutenberg eBook of Captains All	1
42	45618	0.057272	﻿The Project Gutenberg eBook of Deadwood Dick Jr. Branded; or, Red Rover at Powder Pocket	1
43	51751	0.057019	﻿The Project Gutenberg eBook of Oh, Rats!	1
44	66175	0.057009	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 36, Vol. I, September 6, 1884	1
45	20436	0.056814	﻿The Project Gutenberg eBook of Sunshine Factory	1
46	66419	0.056630	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 41, Vol. I, October 11, 1884	1
47	49539	0.056535	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, No. 712	1
48	2286	0.056217	﻿The Project Gutenberg eBook of Devil's Ford	1
49	9112	0.055808	﻿The Project Gutenberg eBook of The Dare Boys of 1776	1
50	19554	0.055753	﻿The Project Gutenberg eBook of Dick Lionheart	1
51	462	0.055669	﻿The Project Gutenberg eBook of The Errand Boy; Or, How Phil Brent Won Success	1
52	17277	0.055505	﻿The Project Gutenberg eBook of The Story of a Monkey on a Stick	1
53	66267	0.055143	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 39, Vol. I, September 27, 1884	1
54	41151	0.055127	﻿The Project Gutenberg eBook of The Mystery of the Hidden Room	1
55	49695	0.055014	﻿The Project Gutenberg eBook of Motor Matt's Close Call; or, The Snare of Don Carlos	1
56	18437	0.054620	﻿The Project Gutenberg eBook of Troublesome Comforts	1
57	49699	0.054497	﻿The Project Gutenberg eBook of The Merry Andrew; or, The Humours of a Fair	1
58	23356	0.054302	﻿The Project Gutenberg eBook of A Struggle For Life	1
59	9924	0.054002	﻿The Project Gutenberg eBook of Viviette	1
60	21797	0.053732	﻿The Project Gutenberg eBook of A sailor's lass	1
61	14573	0.053648	﻿The Project Gutenberg eBook of The Truce of God	1
62	21632	0.053513	﻿The Project Gutenberg eBook of Fame and Fortune; or, The Progress of Richard Hunter	1
63	45082	0.053429	﻿The Project Gutenberg eBook of The Daisy, or, Cautionary Stories in Verse	1
64	32522	0.053294	﻿The Project Gutenberg eBook of Mr. Spaceship	1
65	7805	0.053247	﻿The Project Gutenberg eBook of First Plays	1
66	44631	0.053118	﻿The Project Gutenberg eBook of The Dare Boys with General Greene	1
67	3068	0.053025	﻿The Project Gutenberg eBook of Washington Square Plays	1
68	18442	0.052754	﻿The Project Gutenberg eBook of Fifty Famous Stories Retold	1
69	23510	0.052608	﻿The Project Gutenberg eBook of The Sheriffs Bluff	1
70	7357	0.052562	﻿The Project Gutenberg eBook of J. Cole	1
71	24918	0.052311	﻿The Project Gutenberg eBook of Hollowdell Grange: Holiday Hours in a Country Home	1
72	5804	0.052165	﻿The Project Gutenberg eBook of The Story of a Lamb on Wheels	1
73	60461	0.052134	﻿The Project Gutenberg eBook of Teddy and the Mystery Deer	1
74	71879	0.052022	﻿The Project Gutenberg eBook of The Tarzan twins	1
75	6307	0.051861	﻿The Project Gutenberg eBook of The Story of a Bold Tin Soldier	1
76	40433	0.051796	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 3	1
77	22846	0.051763	﻿The Project Gutenberg eBook of The Ground-Ash	1
78	69659	0.051638	﻿The Project Gutenberg eBook of Space-Can	1
79	5348	0.051440	﻿The Project Gutenberg eBook of Ragged Dick, Or, Street Life in New York with the Boot-Blacks	1
80	34002	0.051136	﻿The Project Gutenberg eBook of Dick's Desertion: A Boy's Adventures in Canadian Forests	1
81	6255	0.051062	﻿The Project Gutenberg eBook of There Is Sorrow on the Sea	1
82	49237	0.051052	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, No. 706	1
83	19957	0.051030	﻿The Project Gutenberg eBook of Facing the German Foe	1
84	31667	0.050963	﻿The Project Gutenberg eBook of The Nephews: A Play, in Five Acts	1
85	5182	0.050897	﻿The Project Gutenberg eBook of The Old English Baron: a Gothic Story	1
86	35684	0.050713	﻿The Project Gutenberg eBook of At Large	1
87	5707	0.050703	﻿The Project Gutenberg eBook of The Boy Scout Aviators	1
88	65389	0.050636	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 15, Vol. I, April 12, 1884	1
89	64962	0.050598	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 5, Vol. I, February 2, 1884	1
90	11638	0.050555	﻿The Project Gutenberg eBook of Punch, or the London Charivari, Volume 153, July 18, 1917	1
91	16969	0.050551	﻿The Project Gutenberg eBook of Dick and Brownie	1
92	69129	0.050517	﻿The Project Gutenberg eBook of The story of a sawdust doll	1
93	15496	0.050457	﻿The Project Gutenberg eBook of The Militants	1
94	42679	0.050423	﻿The Project Gutenberg eBook of Fires - Book 3: The Hare, and Other Tales	1
95	28351	0.050292	﻿The Project Gutenberg eBook of Dick and His Cat, and Other Tales	1
96	22844	0.050261	﻿The Project Gutenberg eBook of Miss Philly Firkin, The China-Woman	1
97	65894	0.050205	﻿The Project Gutenberg eBook of Beyond the Law	1
98	29166	0.050041	﻿The Project Gutenberg eBook of The Flying Mercury	1
99	20197	0.049989	﻿The Project Gutenberg eBook of Grandfather's Love Pie	1
100	40432	0.049954	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 2	1
