rank	book_id	score	preview	start_line
1	40617	4.195150	Language: English	18
2	31639	4.190618	Language: English	18
3	11615	4.186993	﻿The Project Gutenberg eBook of The Grammar of English Grammars	1
4	36553	4.184698	Language: English	18
5	37739	4.180753	Language: English	19
6	38017	4.180371	Language: English	19
7	70957	4.176856	Language: English	19
8	32856	4.166825	Language: English	18
9	17594	4.156923	﻿The Project Gutenberg eBook of Lectures on Language, as Particularly Connected with English Grammar	1
10	14070	4.154326	﻿The Project Gutenberg eBook of English Grammar in Familiar Lectures	1
11	22457	4.148729	Language: English	19
12	53038	4.147130	Language: English	18
13	40536	4.146691	Language: English	18
14	48194	4.143942	Language: English	18
15	29163	4.143471	Language: English	18
16	26991	4.139937	﻿The Project Gutenberg eBook of A Short System of English Grammar	1
17	16737	4.139217	Language: English	19
18	7521	4.139007	Language: English	19
19	13482	4.137603	Language: English	19
20	52367	4.135455	Language: English	18
21	52292	4.134278	Language: English	20
22	30168	4.133978	Language: English	19
23	54943	4.133543	Language: English	20
24	21665	4.133251	﻿The Project Gutenberg eBook of A Brief History of the English Language and Literature, Vol. 2	1
25	69236	4.132945	﻿The Project Gutenberg eBook of The high school course in English	1
26	60113	4.131569	Language: English	18
27	29456	4.128750	﻿The Project Gutenberg eBook of The Comic Latin Grammar: A new and facetious introduction to the Latin tongue	1
28	46330	4.127115	Language: English	20
29	44802	4.126609	﻿The Project Gutenberg eBook of The Comic English Grammar: A New And Facetious Introduction To The English Tongue	1
30	43397	4.123954	﻿The Project Gutenberg eBook of The Comic English Grammar: A New and Facetious Introduction to the English Tongue	1
31	54663	4.123705	Language: English	18
32	63450	4.123167	Language: English	18
33	43376	4.121053	Language: English	18
34	28766	4.119088	﻿The Project Gutenberg eBook of Elements of Gaelic Grammar	1
35	30192	4.118983	Language: English	19
36	43349	4.116987	Language: English	18
37	20958	4.115435	Language: English	18
38	65635	4.115095	Language: English	21
39	14006	4.114882	﻿The Project Gutenberg eBook of An English Grammar	1
40	37795	4.113224	Language: English	19
41	48043	4.109694	﻿The Project Gutenberg eBook of A Graduated English-Welsh Spelling Book	1
42	61900	4.109131	Language: English	20
43	54151	4.107161	Language: English	19
44	39612	4.106582	Language: English	18
45	60832	4.105678	Language: English	20
46	23041	4.105539	Language: English	21
47	37984	4.105527	Language: English	18
48	50200	4.103645	Language: English	18
49	70282	4.103392	Language: English	21
50	35794	4.103342	whose similarity to the English equivalents cannot but appeal to them.	138
51	63907	4.101367	Language: English	18
52	36646	4.100769	﻿The Project Gutenberg eBook of The Philosophic Grammar of American Languages, as Set Forth by Wilhelm von Humboldt	1
53	63929	4.098718	Language: English	18
54	28979	4.098708	Language: English	20
55	15097	4.098156	﻿The Project Gutenberg eBook of A Grammar of the English Tongue	1
56	34863	4.097841	Language: English	19
57	48907	4.097071	﻿The Project Gutenberg eBook of A Desk-Book of Errors in English	1
58	42869	4.096784	Language: English	20
59	50366	4.094130	Language: English	18
60	17287	4.093214	Language: English	21
61	34595	4.093007	﻿The Project Gutenberg eBook of The English Language	1
62	46018	4.092210	Language: English	20
63	45318	4.089368	Language: English	18
64	44259	4.086361	Language: English	18
65	62774	4.085907	Language: English	18
66	30036	4.085874	﻿The Project Gutenberg eBook of Word Study and English Grammar	1
67	64554	4.085558	﻿The Project Gutenberg eBook of The Etymology and Syntax of the English Language Explained and Illustrated	1
68	1615	4.085189	﻿The Project Gutenberg eBook of Old English libraries	1
69	58483	4.080498	Language: English	18
70	54365	4.080203	﻿The Project Gutenberg eBook of A History of the Old English Letter Foundries	1
71	40812	4.079570	Language: English	19
72	13411	4.078424	Language: English	19
73	21197	4.078363	﻿The Project Gutenberg eBook of Diego Collado's Grammar of the Japanese Language	1
74	62598	4.076977	Language: English	18
75	55727	4.076699	Language: English	18
76	19875	4.076333	Language: English	18
77	58834	4.076188	Language: English	18
78	53094	4.073599	﻿The Project Gutenberg eBook of Outline of the history of the English language and literature	1
79	19719	4.072570	﻿The Project Gutenberg eBook of The Art of Writing & Speaking the English Language	1
80	31766	4.071621	﻿The Project Gutenberg eBook of Five Hundred Mistakes of Daily Occurrence in Speaking, Pronouncing, and Writing the English Language, Corrected	1
81	68118	4.069242	Language: English	18
82	30358	4.069119	Language: English	18
83	17000	4.068843	Language: English	21
84	43868	4.068601	Language: English	18
85	23765	4.068374	﻿The Project Gutenberg eBook of Captain Boldheart & the Latin-Grammar Master	1
86	70621	4.067971	Language: English	19
87	46249	4.067078	Language: English	18
88	34316	4.064040	﻿The Project Gutenberg eBook of Anglo-Saxon Primer, With Grammar, Notes, and Glossary	1
89	1616	4.061903	Language: English	21
90	39152	4.061533	Language: English	18
91	47779	4.061363	Language: English	18
92	47747	4.059410	Language: English	18
93	43881	4.059388	Language: English	18
94	6409	4.054756	Language: English	19
95	71324	4.053307	Language: English	18
96	46961	4.053281	Language: English	18
97	50419	4.052950	﻿The Project Gutenberg eBook of Exercises upon the Different Parts of Italian Speech, with References to Veneroni's Grammar	1
98	26192	4.052715	Language: English	18
99	14437	4.050953	Language: English	21
100	25604	4.050914	Language: English	18
