rank	book_id	score	preview	start_line
1	16198	7.568927	﻿The Project Gutenberg eBook of Her own way	1
2	40431	7.540410	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 1	1
3	40142	7.537905	﻿The Project Gutenberg eBook of Miss Stuart's Legacy	1
4	24918	7.508092	﻿The Project Gutenberg eBook of Hollowdell Grange: Holiday Hours in a Country Home	1
5	41151	7.499962	﻿The Project Gutenberg eBook of The Mystery of the Hidden Room	1
6	11165	7.489703	﻿The Project Gutenberg eBook of Wild Wings: A Romance of Youth	1
7	16101	7.488066	﻿The Project Gutenberg eBook of Diane of the Green Van	1
8	68624	7.480935	﻿The Project Gutenberg eBook of The Red Cross girls with the Stars and Stripes	1
9	2301	7.475169	﻿The Project Gutenberg eBook of A Simpleton	1
10	40432	7.469912	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 2	1
11	71661	7.456694	﻿The Project Gutenberg eBook of Holiday stories	1
12	16703	7.455447	﻿The Project Gutenberg eBook of A Comedy of Masks: A Novel	1
13	44928	7.447017	﻿The Project Gutenberg eBook of The Liberty Girl	1
14	15496	7.446084	﻿The Project Gutenberg eBook of The Militants	1
15	49695	7.444479	﻿The Project Gutenberg eBook of Motor Matt's Close Call; or, The Snare of Don Carlos	1
16	54993	7.434153	﻿The Project Gutenberg eBook of The Beadle Collection of Dime Novels	1
17	50273	7.430743	﻿The Project Gutenberg eBook of The Adventures of M. D'Haricot	1
18	40433	7.410887	﻿The Project Gutenberg eBook of Miss Hildreth: A Novel, Volume 3	1
19	40963	7.408701	﻿The Project Gutenberg eBook of Johnny Ludlow, Sixth Series	1
20	62903	7.404728	﻿The Project Gutenberg eBook of Greycliff Heroines	1
21	43989	7.387019	﻿The Project Gutenberg eBook of The Trail of The Badger: A Story of the Colorado Border Thirty Years Ago	1
22	54674	7.385577	﻿The Project Gutenberg eBook of White Motley: A Novel	1
23	53133	7.384854	﻿The Project Gutenberg eBook of The High Toby	1
24	35684	7.383063	﻿The Project Gutenberg eBook of At Large	1
25	10336	7.347408	﻿The Project Gutenberg eBook of A Select Collection of Old English Plays, Volume 07	1
26	1962	7.338549	﻿The Project Gutenberg eBook of A Defence of Poesie and Poems	1
27	64571	7.333532	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 3, Vol. I, January 19, 1884	1
28	66606	7.324401	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 48, Vol. I, November 29, 1884	1
29	37573	7.321447	﻿The Project Gutenberg eBook of Pencil Sketches; or, Outlines of Character and Manners	1
30	18442	7.314472	﻿The Project Gutenberg eBook of Fifty Famous Stories Retold	1
31	40354	7.313529	﻿The Project Gutenberg eBook of Confessions of a Young Lady: Her Doings and Misdoings	1
32	7805	7.310739	﻿The Project Gutenberg eBook of First Plays	1
33	59094	7.307442	﻿The Project Gutenberg eBook of Half Brothers	1
34	65647	7.302927	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 20, Vol. I, May 17, 1884	1
35	23500	7.288945	﻿The Project Gutenberg eBook of The Car of Destiny	1
36	58546	7.288276	﻿The Project Gutenberg eBook of Christmas Candles: Plays for Boys and Girls	1
37	50032	7.284906	﻿The Project Gutenberg eBook of A Dog of Flanders, The Nürnberg Stove, and Other Stories	1
38	66175	7.284446	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 36, Vol. I, September 6, 1884	1
39	58237	7.275039	﻿The Project Gutenberg eBook of Motion pictures, 1940-1949	1
40	66579	7.270258	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 46, Vol. I, November 15, 1884	1
41	14875	7.261443	﻿The Project Gutenberg eBook of Elsie's children	1
42	66419	7.260157	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 41, Vol. I, October 11, 1884	1
43	49237	7.249693	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, No. 706	1
44	49539	7.247603	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, No. 712	1
45	3068	7.240385	﻿The Project Gutenberg eBook of Washington Square Plays	1
46	29882	7.239736	﻿The Project Gutenberg eBook of Astounding Stories of Super-Science, October, 1930	1
47	66267	7.224004	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 39, Vol. I, September 27, 1884	1
48	58920	7.222181	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Horatio Alger, Jr	1
49	59360	7.210165	﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of George Alfred Henty	1
50	58188	7.202786	﻿The Project Gutenberg eBook of Oswald Cray: A Novel	1
51	41916	7.201828	﻿The Project Gutenberg eBook of Nestleton Magna: A Story of Yorkshire Methodism	1
52	53372	7.198439	﻿The Project Gutenberg eBook of Star of India	1
53	68069	7.190741	﻿The Project Gutenberg eBook of The principal girl	1
54	63066	7.187286	﻿The Project Gutenberg eBook of Motion pictures and filmstrips, January-June 1971	1
55	2550	7.185894	﻿The Project Gutenberg eBook of Tales of Trail and Town	1
56	11825	7.179929	﻿The Project Gutenberg eBook of U.S. Copyright Renewals, 1962 January - June	1
57	11847	7.175513	﻿The Project Gutenberg eBook of U.S. Copyright Renewals, 1973 January - June	1
58	32523	7.168545	﻿The Project Gutenberg eBook of Mrs. Turner's Cautionary Stories	1
59	55161	7.166709	﻿The Project Gutenberg eBook of The Madness of Philip, and Other Tales of Childhood	1
60	37164	7.162355	﻿The Project Gutenberg eBook of The Sixth Sense: A Novel	1
61	30747	7.151538	﻿The Project Gutenberg eBook of Seaport in Virginia	1
62	62442	7.147237	﻿The Project Gutenberg eBook of Greycliff Wings	1
63	36644	7.146653	﻿The Project Gutenberg eBook of The Coward: A Novel of Society and the Field in 1863	1
64	462	7.144789	﻿The Project Gutenberg eBook of The Errand Boy; Or, How Phil Brent Won Success	1
65	2286	7.144261	﻿The Project Gutenberg eBook of Devil's Ford	1
66	46156	7.142980	﻿The Project Gutenberg eBook of The Maid of Sker	1
67	37480	7.138712	﻿The Project Gutenberg eBook of Campaigning with Crook, and Stories of Army Life	1
68	11822	7.127865	﻿The Project Gutenberg eBook of U.S. Copyright Renewals, 1960 July - December	1
69	65190	7.126890	﻿The Project Gutenberg eBook of Motion pictures and filmstrips, January-June 1972	1
70	65389	7.125335	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 15, Vol. I, April 12, 1884	1
71	11850	7.112953	﻿The Project Gutenberg eBook of U.S. Copyright Renewals, 1974 July - December	1
72	56631	7.111287	﻿The Project Gutenberg eBook of The Catholic World, Vol. 08, October, 1868, to March, 1869	1
73	64475	7.108542	﻿The Project Gutenberg eBook of Chambers's Journal of Popular Literature, Science, and Art, Fifth Series, No. 2, Vol. I, January 12, 1884	1
